game_id,emp_sample_complexity,emp_simulation_complexity
67405833,237383,20356025
68627518,215802,17660377
52217905,237383,20044992
50318983,237383,18306220
63003606,237383,21061927
75076006,237383,19208423
78090388,237383,18388663
82433005,237383,15660168
32063437,237383,18677836
69333059,237383,15414650
36761335,237383,19859041
34280124,237383,18344595
87957804,237383,20645059
81990594,237383,19339552
31581339,237383,16322380
63314250,237383,18370505
49705733,237383,15653225
82213144,237383,20039181
93998351,237383,17818444
57845447,237383,19587727
52951796,237383,18243317
21676756,237383,21455301
55135487,237383,14719304
98282994,237383,21034625
61113113,237383,19262654
16912640,237383,20293813
96487876,237383,21822175
98293390,237383,15580075
32298880,237383,19754233
58280950,237383,20327989
25016126,237383,21198167
86634347,237383,19861715
95149558,237383,20777981
51379092,237383,18943151
61999582,237383,20551001
33021235,237383,17498121
94702405,237383,22637669
10576689,237383,20780318
84115594,237383,17097978
77335548,215802,16092209
25717760,237383,20173047
30139054,237383,19859006
95630990,237383,17373800
36689037,237383,19380951
59782951,237383,20994988
25599924,237383,17965587
68426769,237383,21064002
75567819,237383,17649498
81446087,237383,19715918
92951835,237383,22135133
42509928,237383,19258306
49496169,237383,19023738
43297229,237383,15243604
81056812,237383,17902134
42596316,237383,20147251
92230837,237383,17322359
44009591,237383,17091466
20811921,237383,19213933
35421185,237383,18525168
76208645,237383,17717596
64034923,237383,22465021
41417731,237383,16772368
47551207,237383,17088625
93507370,237383,19812179
32522660,237383,19470985
81100731,237383,16265611
57105016,237383,20152546
46806834,237383,17951623
60013656,237383,20892253
30708408,237383,17876544
21136557,237383,16549576
35609595,237383,21140399
53312820,237383,15987244
87386749,237383,20105203
19693946,237383,21006035
61094955,237383,18925364
83416883,237383,22572926
56008018,237383,19208938
23793014,237383,17957601
66709286,237383,17927771
57764481,237383,17648439
88460770,237383,19697774
51212456,237383,18235926
86013206,237383,18931989
23329838,237383,17833004
